Airport Names,Approvals,Count of Claim Number,Approval Rate
" Albert J Ellis, Jacksonville",9,17,53
Aberdeen Regional Airport,11,31,35
Abilene Regional,15,46,33
"Abraham Lincoln Capital Airport, Springfield",6,24,25
Adak Mitchell Field Airport,0,2,0
Akron-Canton Regional,118,249,47
Alamosa-San Luis Valley Bergman Airport,2,4,50
Albany International,423,982,43
"Albert J Ellis, Jacksonville",5,13,38
Albuquerque International Sunport Airport,454,1007,45
Alexandria International Airport,21,64,33
Alliance Municipal Airport,1,3,33
Alpena County Regional Airport,3,6,50
Altoona Blair County,0,3,0
Arcata-Eureka,19,46,41
Arnold Palmer Regional Airport,14,35,40
Asheville Regional Airport,65,159,41
Aspen Pitkin County Sardy Field,42,97,43
Athens/Ben Epps,0,1,0
Atlantic City International,80,167,48
Augusta State Airport,0,6,0
Austin Straubel International,47,126,37
Austin-Bergstrom International Airport,474,1062,45
Baltimore/Washington Intl Thurgood Marshall,1357,3119,44
Bangor International Airport,21,65,32
Barkley Regional Airport,3,12,25
"Barnstable Municipal, Hyannis",0,3,0
Baton Rouge Metropolitan,46,129,36
Beckley-Raleigh County Memorial,0,2,0
Bellingham International,35,90,39
"Bemidji, MN",8,21,38
Bert Mooney,13,25,52
Bethel Airport,3,8,38
"Billings, MT",45,120,38
Birmingham International Airport,132,342,39
"Bishop International, Flint",104,238,44
Bismarck Municipal,8,39,21
Bloomington-Normal Airport,29,65,45
"Blue Grass ,Lexington",71,155,46
Bob Hope,238,691,34
Bob Hope ,59,197,30
Boise Air Terminal/Gowen Field,189,394,48
"Boise Air Terminal/Gowen
Field",3,12,25
Boone County Regional Airport,0,1,0
Boston (Logan) International Airport,1058,2469,43
Boston (Logan) International Airport ,557,1649,34
"Boston (Logan) International
Airport",43,400,11
Bozeman Yellowstone International Airport,0,5,0
"Bozeman Yellowstone International
Airport",0,1,0
"Bozeman Yellowstone
International Airport",0,1,0
Bradford Regional,8,13,62
Bradley International Airport,541,1124,48
"Brainerd, MN",6,15,40
Branson Airport,4,14,29
Brownsville/South Padre International,5,13,38
Buffalo Niagara International,375,846,44
"Burlington, VT",126,333,38
Bush Field,25,64,39
"Capital City, Lansing",17,65,26
Cedar City Municipal,1,6,17
Central Nebraska Regional,1,10,10
Central Wisconsin Regional,8,46,17
Chadron Municipal,2,3,67
Charles Shulz-Sonoma County,0,6,0
Charleston International,104,391,27
Charlotte County,7,24,29
Charlotte/Douglas International Airport,753,1887,40
"Charlotte/Douglas International
Airport",6,101,6
"Charlotte/Douglas
International Airport",21,133,16
Charlottesville / Albemarle,39,103,38
Chattanooga Metropolitan,24,71,34
"Chautaugua County, Jamestown",4,9,44
Cherry Capital Airport,35,86,41
Cheyenne Regional Airport - Jerry Olson Field,1,11,9
Chicago O'Hare International Airport,2848,6844,42
"Chicago O'Hare International
Airport",66,456,14
Chico Municipal,3,13,23
Chippewa County International,3,8,38
Chippewa Valley Regional Airport,7,20,35
Chisolm-Hibbing Municipal,3,8,38
Chisolm-Hibbing Municipal ,1,3,33
Cincinnati/Northern Kentucky International,584,1137,51
"Cincinnati/Northern Kentucky
International",6,31,19
"Civil Aviation, Non TSA manned Airport",0,2,0
Cleveland Hopkins International,570,1241,46
"Cleveland Hopkins
International",8,58,14
Clinton County Airport,2,3,67
Colorado Springs Municipal,289,717,40
Columbia Metropolitan,57,151,38
"Columbia, MO",6,25,24
Columbus Metroplitan,6,32,19
Concord Regional Airport,4,9,44
Corpus Christi International,58,148,39
Cortez Municipal,0,1,0
Craven County Regional,15,55,27
Crescent City,2,9,22
Cyril E. King International,125,406,31
Dallas Love Field,270,727,37
Dallas-Fort Worth International Airport,1481,3118,47
Dallas-Fort Worth International Airport ,417,1284,32
"Dallas-Fort Worth International
Airport",8,227,4
"Dallas-Fort Worth
International Airport",58,200,29
Dane County Regional (Madison),138,337,41
"Dane County Regional
(Madison)",2,6,33
Daytona Beach International,59,135,44
Deadhorse,5,8,63
"Decatur, IL",4,7,57
Del Rio International Airport,0,5,0
Delta County,2,9,22
Denver International Airport,1144,3016,38
Denver International Airport ,359,1228,29
Des Moines International,139,311,45
Detroit Metropolitan Wayne County Airport,1176,2962,40
"Detroit Metropolitan Wayne
County Airport",23,205,11
"Devils Lake Municipal Airport, Knoke Field",1,4,25
Dickinson Theodore Roosevelt Regional Airport,0,6,0
Dillingham,2,7,29
Dodge City Regional,0,1,0
Dothan Regional Airport,8,28,29
Dubois Jefferson County,0,1,0
Dubois Jefferson County ,0,2,0
Dubuque Regional,4,17,24
"Duluth, MN",39,83,47
"Durango - La Plata County, CO",9,30,30
Eagle County Regional,46,120,38
Eastern Iowa,39,115,34
Eastern Oregon Regional,1,4,25
"Easterwood/College Station, TX",19,45,42
El Paso International Airport,290,648,45
Elko Regional,4,7,57
Elmira Corning International,18,47,38
Eppley Airfield,342,816,42
Erie International,34,92,37
Eugene Airport/Mahlon Sweet Field,92,186,49
Evansville Regional Airport,18,39,46
Fairbanks International,94,213,44
Falls International,12,30,40
Falls International ,4,13,31
Fayetteville Regional,9,41,22
Flagstaff Pulliam,6,25,24
Florence Regional,7,19,37
Forbes Field,21,32,66
Ford Airport,2,8,25
Forney Army Airfield,1,3,33
Fort Collins-Loveland Municipal,6,7,86
Fort Dodge Municipal Airport,3,10,30
Fort Smith Municipal,15,37,41
"Four Corners Regional Airport Farmington, NM",2,4,50
Fresno Yosemite International,95,233,41
Friedman Memorial,14,37,38
Ft. Lauderdale-Hollywood International,1699,4119,41
"Ft. Lauderdale-Hollywood
International",50,433,12
Ft. Wayne Municipal- Baer Field,47,92,51
Gainesville Regional,16,45,36
Gallatin Field,101,196,52
Garden City Municipal,2,10,20
"Gary Regional Airport, Gary IN",3,4,75
General Mitchell International Airport,354,785,45
"General Mitchell International
Airport",7,49,14
Gerald R. Ford International Airport,134,282,48
"Gerald R. Ford International
Airport",3,14,21
Gillette-Campbell County,1,8,13
"Glacier Park Int., Kalispell, MT",11,33,33
Glynco Jetport,6,25,24
Gogebic County,0,2,0
Golden Triangle Regional,6,23,26
Grand Forks - Mark Andrews International,8,26,31
Grant County,0,1,0
Great Bend Municipal Airport,0,3,0
Great Falls International,61,113,54
Greater Binghamton Airport,10,46,22
Greater Peoria,28,81,35
Greater Rochester International,12,204,6
Greater Rockford,10,30,33
"Greenbrier Valley, Lewisburg",4,11,36
Greenville-Spartanburg,228,506,45
"Gregg County - Longview, TX",4,25,16
"Griffiss Intl, ROME, NY",0,1,0
"Groton - New London, CT",0,1,0
Guam,40,126,32
Gulfport-Biloxi International,80,197,41
Gunnison - Crested Butte Regional Airport,11,24,46
Gustavus,2,6,33
Hagerstown Regional,1,4,25
Hancock County Bar Harbor,0,7,0
Harrisburg International,105,211,50
Harrison Marion Regional,2,7,29
Hartsfield-Jackson Atlanta International Airport,2096,5871,36
"Hartsfield-Jackson Atlanta
International Airport",58,712,8
Hattiesburg-Laurel Regional,1,8,13
Hays Regional,0,6,0
Hector International,31,85,36
Helena Regional,25,57,44
Henry E. Rohlsen,19,74,26
Hickory Regional Airport,1,1,100
Hilo International,64,152,42
Hilton Head Island Airport,19,51,37
Homer Airport,1,4,25
Honolulu International Airport,924,2365,39
Houghton County Memorial,4,8,50
Houston - George Bush Intercontinental Airport,1216,3258,37
"Houston - George Bush
Intercontinental Airport",47,316,15
Huntsville International Airport,70,215,33
"Huntsville International
Airport",1,2,50
Huron Municipal,1,2,50
Idaho Falls Regional,10,38,26
Imperial County Airport,0,2,0
Indian Wells Valley,2,8,25
Indianapolis International,531,1153,46
Insurance Subrogation Claim,14,47,30
Jackson Hole,1,44,2
Jackson International,81,245,33
Jacksonville International,303,830,37
James M. Cox Dayton International,130,315,41
"James M. Cox Dayton
International",3,9,33
Joe Foss Field,47,91,52
John F. Kennedy International,2921,10180,29
John Glenn Columbus International,2,30,7
John Wayne,644,1448,44
Johnstown Cambria County,0,3,0
Jonesboro Municipal Airport,0,1,0
Joplin Regional,1,5,20
Joslin Field Magic Valley,7,14,50
Juneau International,43,104,41
"Kahului-Maui, HI",290,833,35
Kalamazoo/Battle Creek International,24,62,39
"Kalispell, MT",20,38,53
Kansas City International,12,412,3
Kapalua Airport,2,7,29
Kapalua Airport ,1,4,25
Kearney Municipal Airport,1,2,50
Kearney Municipal Airport ,1,2,50
Kenai Municipal Airport,4,10,40
Ketchikan International,20,56,36
Key West International Airport,48,122,39
Kileen - Ft. Hood Regional,20,65,31
King Salmon,3,5,60
Kinston Regional Jetport,2,2,100
Kirksville Regional,0,1,0
Klamath Falls Airport,6,9,67
Knox County Regional,1,3,33
Kodiak State Airport,12,30,40
Kona International,223,536,42
Kotzebue 'Ralph Wien Memorial,0,6,0
L. M. Clayton Airport,0,1,0
La Crosse Municipal,28,63,44
Lafayette Regional,10,61,16
LaGuardia,1361,3198,43
LaGuardia ,244,924,26
Lake Charles Regional Airport,5,22,23
Lake Havasu City Municipal,1,1,100
Lakeland Regional Airport,1,2,50
Lambert St. Louis International,626,1404,45
"Lanai City, HI",8,14,57
Lancaster,0,1,0
Laramie Regional,4,8,50
Laredo International,5,20,25
Laughlin/Bullhead International Airport,31,69,45
Lawton/Ft. Sill Regional,7,30,23
Lea County Regional Airport,0,2,0
"Lebanon, New Hampshire",1,6,17
"Lehigh Valley International Airport, Allentown",79,131,60
"Lehigh Valley International Airport,
Allentown",0,2,0
"Lehigh Valley International
Airport, Allentown",0,4,0
Lewiston Nez-Perce County Regional,12,39,31
Liberal Municipal Airport,0,2,0
Lihue Airport,191,495,39
Lincoln Municipal,33,80,41
Little Rock National,152,346,44
Long Beach,329,647,51
"Long Island McArthur, Islip",155,355,44
Los Angeles International Airport,2921,7279,40
Los Angeles International Airport ,918,2831,32
"Los Angeles International
Airport",44,449,10
Louisville International,236,551,43
Lubbock International,45,146,31
Luis Munoz Marin International,427,1564,27
"Luis Munoz Marin
International",5,50,10
Lynchburg Regional,6,19,32
Mammoth Lakes,1,2,50
Mammoth Lakes ,13,23,57
Manchester Regional Airport,366,691,53
Manhattan Regional,5,25,20
Manistee County,2,3,67
Martha's Vineyard Airport,6,19,32
Mason City Municipal Airport,0,1,0
Mason City Municipal Airport ,0,2,0
Massena International,0,1,0
"Mayaguez, PR",0,1,0
MBS International,29,65,45
McAllen-Miller International,35,90,39
McCarran International,1554,5576,28
McClellan-Palomar,3,10,30
McCook Municipal,0,1,0
"Mcghee Tyson ,Knoxville",97,198,49
Mckellar-Sipes Regional,2,2,100
"Meadows Field, Bakersfield Airport",21,63,33
Melbourne International Airport,24,56,43
Memphis International Airport,387,908,43
Merced Regional Airport/Macready Field,1,2,50
Mercedita Airport,5,33,15
"Mercer County, Bluefield",2,3,67
Meridian Regional,2,6,33
Merle K (Mudhole) Smith,3,8,38
Mesa-Gateway Airport,23,61,38
Metropolitan Oakland International,841,1942,43
"Metropolitan Oakland
International",10,61,16
Miami International Airport,2216,7133,31
Mid Delta Regional,1,6,17
Mid Ohio Valley Regional,3,7,43
Midamerica Airport,8,11,73
Middle Georgia Regional Airport,2,9,22
Midland International Airport,38,83,46
Midway International Airport,579,1766,33
Minneapolis/ St.Paul International Airport,1437,3190,45
"Minneapolis/ St.Paul International
Airport",9,72,13
"Minneapolis/ St.Paul
International Airport",13,72,18
Minot International,5,17,29
Missoula International,60,125,48
Mobile Regional,42,104,40
Modesto City County Sham Field,1,14,7
Molokai Airport,2,11,18
Molokai Airport ,3,5,60
Monroe Regional,18,39,46
Monterey Peninsula Airport,22,62,35
Montgomery Regional- Dannelly Field,0,2,0
Montgomery Regional-Dannelly Field,18,52,35
Montrose Regional Airport,24,55,44
Morgantown Municipal,0,4,0
Muskegon County Airport,7,14,50
Myrtle Beach International,114,305,37
Nantucket Memorial Airport,15,30,50
Naples Municipal Airport,1,2,50
Nashville International,573,1267,45
Natrona International,16,56,29
Navy Yuma Landing,18,44,41
New Castle Airport,5,9,56
"New Haven, CT",5,20,25
New Orleans International,733,1636,45
Newark International Airport,3027,7458,41
Newport News / Williamsburg International,72,184,39
"Newport News / Williamsburg
International",2,2,100
Niagara Falls International,14,31,45
Nome,7,22,32
Non TSA Airport (motor vehicle),124,277,45
Norfolk International,366,863,42
Norman Y Mineta San Jose International,702,1471,48
"Norman Y Mineta San Jose
International",5,110,5
North Bend Municipal,13,33,39
North Platte Regional,2,7,29
Northern Maine Regional,1,3,33
Northwest Arkansas Regional,55,131,42
Northwest Florida Beaches International Airport,11,36,31
"Northwest Florida Beaches
International Airport",0,11,0
Northwest Regional Airport,2,8,25
Ogdensburg International,3,6,50
Okaloosa/ Northwest Florida,57,125,46
