Locid,CY 2002 Boardings,CY 2003 Boardings,CY 2004 Boardings,CY 2005 Boardings,CY 2006 Boardings,CY 2007 Boardings,CY 2008 Boardings,CY 2009 Boardings,CY 2010 Boardings,CY 2011 Boardings,CY 2012 Boardings,CY 2013 Boardings,CY 2014 Boardings,CY 2015 Boardings,CY 2016 Boardings,CY 2017 Boardings
ATL,"37,720,556",38893670,41123857,42402653,41352038,43236665,43761280,42280868,43130585,44414121,45798928,45308407,46604273,49340732,50501858,50251964
ORD,"31,706,328",32920387,36100147,36720005,36825097,36521585,33683991,31135732,32171831,31892301,32171795,32317835,33843426,36305668,37589899,38593028
LAX,"26,911,570",26239584,28925341,29372272,29357327,30113985,28861477,27439897,28857755,30528737,31326268,32425892,34314197,36351272,39636042,41232432
DFW,"24,761,105",24976881,28063035,28079147,28627749,28482417,27219285,26663984,27100656,27518358,28022904,29038128,30804567,31589839,31283579,31816933
PHX,"17,271,519",18252853,19336099,20315544,20591909,20796173,19450576,18559647,18907171,19750306,19560870,19525109,20344867,21351504,20896265,21185458
DEN,"16,943,564",17969754,20407002,20799886,22822111,24117623,24287939,24013669,25241962,25667499,25799841,25496885,26000591,26280043,28267394,29809097
LAS,"16,600,807",17097738,19943025,21402676,22028521,22537950,21024443,19445952,18996738,19872617,19959651,19946179,20620248,21857693,22833267,23364393
IAH,"15,865,479",16134684,17322065,19032196,20479291,20767144,20030898,19290239,19528631,19306660,19039000,18952840,19772087,20595881,20062072,19603731
MSP,"15,544,039",16022988,17482627,17971771,17192410,16962563,16369324,15551206,15512487,15895653,15943878,16280835,16972678,17634273,18123844,18409704
DTW,"15,525,413",15754017,17046176,17580363,17483468,17495135,16998174,15211402,15643890,15716865,15599879,15683523,15775941,16255520,16847135,17036092
SFO,"14,736,137",14079173,15605822,16070133,16236592,17280328,18135827,18467908,19359003,20056568,21284236,21704626,22770783,24190560,25707101,26900048
EWR,"14,553,843",14628708,15827675,16444959,17804107,18163652,17599578,16659441,16571754,16814092,17055993,17546506,17773405,18684818,19923009,21571198
JFK,"14,552,411",15676352,18586863,20260359,21071501,23401351,23620948,22710272,22934047,23664832,24520981,25036358,26244928,27782369,29239151,29533154
MIA,"14,020,686",14198321,14515591,15092763,15664791,16194162,16377488,16187768,17017654,18342158,18987488,19420089,19471466,20986349,20875813,20709225
SEA,"12,969,024",13109153,14092285,14359530,14703928,15419116,15839504,15273092,15406243,15971676,16121123,16690295,17888080,20148980,21887110,22639124
MCO,"12,921,480",13375162,15270347,16592133,16807534,17614679,17288480,16371016,17017491,17250415,17159427,16884524,17278608,18759938,20283541,21565448
STL,"12,474,566",9922456,6377628,6847228,7037400,7130801,6740468,6084070,6044760,6159090,6208750,6216104,6108758,6239248,6793076,7194745
PHL,"11,954,469",11870928,13824332,15376569,15390848,15656653,15586852,15002961,14951254,14883180,14589337,14727945,14792339,15101349,14564419,14271243
CLT,"11,743,157",11465366,12499476,14009608,14749568,16584780,17281425,17165376,18629181,19022535,20033816,21346601,21537725,21913166,21511880,22011251
BOS,"11,077,238",11087799,12758020,13214923,13544552,13783297,12820489,12566797,13561814,14180730,14293695,14810153,15507561,16290362,17759044,18759742
LGA,"11,076,032",11367309,12312561,13014314,12925697,12529890,11567586,11084300,12001501,11989227,12818717,13372269,13535372,14319924,14762593,14614802
CVG,"10,316,170",10449930,10864547,11277068,7984074,7728069,6648600,5194214,3906826,3422466,2937850,2776377,2875844,3054991,3269979,3791989
HNL,"9,406,467",9044409,9579076,9784404,9855838,10393929,9013440,8739389,8740077,8689699,9225848,9466995,9463000,9479094,9656340,9743989
BWI,"9,367,499",9768040,10103563,9829432,10297607,10487789,10215225,10338950,10848633,11067319,11186444,11132731,11022200,11738845,12340972,12976554
SLC,"8,997,942",8958003,8884880,10601918,10289129,10560906,9993198,9903821,9910493,9701756,9579840,9668048,10139065,10634538,11143738,11615954
PIT,"8,975,111",7113460,6606117,5198442,4946256,4875883,4292546,3956842,3996656,4070614,3892338,3812460,3827860,3890681,3986114,4327434
FLL,"8,266,788",8682781,10040598,10729468,10204579,11079250,11020091,10258118,10829810,11332466,11445103,11538140,12031860,13061632,14263270,15817043
MDW,"7,878,438",8687215,9238592,8383698,8915292,9132836,8021383,8253620,8518957,9134576,9436387,9915646,10311996,10830850,11044387,10912074
IAD,"7,848,911",8050506,10961614,13032502,11045217,11789441,11348775,11132098,11276481,11044383,10816216,10570993,10415948,10363974,10596942,11024306
TPA,"7,726,576",7672533,8436025,9297643,9187865,9306036,8871917,8263294,8137222,8174194,8218487,8267752,8531561,9150458,9194994,9548580
SAN,"7,392,389",7565196,8135832,8628648,8724442,9138116,9007617,8453854,8430509,8465683,8686621,8878772,9333152,9985763,10340164,11139933
DCA,"6,172,065",6813148,7661532,8623907,8973410,9038174,8704466,8490288,8736804,9053004,9462231,9838034,10115546,11242375,11470854,11506310
OAK,"6,164,548",6638343,6923690,7071534,7076936,7144127,5583748,4612631,4673417,4550526,4926683,4770716,5069257,5506687,5934639,6413842
PDX,"5,978,025",6059860,6379884,6798976,6956712,7281057,7090526,6430119,6582227,6808486,7142620,7452603,7878760,8340252,9071154,9435473
SJC,"5,248,193",5104201,5269849,5309992,5283407,5255257,4780264,4103834,4056167,4108006,4077654,4315839,4621003,4822480,5321603,6130878
MEM,"5,231,998",5411496,5295062,5630305,5508235,5546321,5376818,5054191,4930935,4344213,3359668,2301003,1800268,1873716,2016089,2102739
MCI,"5,161,518",4860047,5040595,5063120,5466672,5833064,5386242,4894349,4946173,5011000,4866850,4836221,4982722,5135127,5391557,5628581
CLE,"5,146,975",5012446,5389196,5529629,5447482,5571219,5387625,4704329,4591097,4401033,4346941,4375448,3686315,3916922,4083476,4446555
SJU,"4,607,290",4706846,5222456,5336690,5226471,5149177,4635798,4094662,4243475,3983130,4204478,4103197,4187888,4233638,4343354,4203766
