"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_CODE_ISO","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE",
1000101,10001,"01A","Afognak Lake Airport",101,1,"US",58,58.10944444,152,-152.90666667,
1000301,10003,"03A","Bear Creek Mining Strip",101,1,"US",65,65.54805556,161,-161.07166667,
1000401,10004,"04A","Lik Mining Camp",101,1,"US",68,68.08333333,163,-163.16666667,
1000501,10005,"05A","Little Squaw Airport",101,1,"US",67,67.57000000,148,-148.18388889,
1000601,10006,"06A","Kizhuyak Bay",101,1,"US",57,57.74527778,152,-152.88277778,
1000701,10007,"07A","Klawock Seaplane Base",101,1,"US",55,55.55472222,133,-133.10166667,
1000801,10008,"08A","Elizabeth Island Airport",101,1,"US",59,59.15694444,151,-151.82916667,
1000901,10009,"09A","Augustin Island",101,1,"US",59,59.36277778,153,-153.43055556,
1001001,10010,"1B1","Columbia County",2201,22,"US",42,42.28888889,73,-73.71027778,
1001002,10010,"1B1","Columbia County",2201,22,"US",42,42.29138889,73,-73.71027778,
1001101,10011,"1G4","Grand Canyon West",8101,81,"US",35,35.99027778,113,-113.81638889,
1001102,10011,"1G4","Grand Canyon West",8101,81,"US",35,35.98611111,113,-113.81694444,
1001103,10011,"1G4","Grand Canyon West",8101,81,"US",35,35.99027778,113,-113.81638889,
1001104,10011,"1G4","Grand Canyon West",8101,81,"US",35,35.98611111,113,-113.81694444,
1001201,10012,"1N7","Blairstown Airport",2101,21,"US",40,40.97111111,74,-74.99750000,
1001301,10013,"8F3","Crosbyton Municipal",7401,74,"US",33,33.62388889,101,-101.24083333,
1001401,10014,"A01","Blair Lake",101,1,"US",64,64.36416667,147,-147.36138889,
1001402,10014,"A01","Blair Lake",101,1,"US",64,64.36361111,147,-147.36388889,
1001501,10015,"A02","Deadmans Bay Airport",101,1,"US",57,57.06666667,153,-153.93777778,
1001601,10016,"A03","Hallo Bay Airport",101,1,"US",58,58.45750000,154,-154.02333333,
1001701,10017,"A04","Red Lake Airport",101,1,"US",57,57.27722222,154,-154.34222222,
1001801,10018,"A05","Shell Lake Airport",101,1,"US",61,61.96388889,151,-151.55583333,
1001901,10019,"A06","Navigator Airstrip",101,1,"US",65,65.65555556,165,-165.35638889,
1002001,10020,"A07","Roland Norton Memorial Airstrip",101,1,"US",66,66.76583333,160,-160.15250000,
1002002,10020,"A07","Roland Norton Memorial",101,1,"US",66,66.76611111,160,-160.15277778,
